idx,table_truncated,reference,pred_1 (deterministic),pred_1_faithfulness (0-5),pred_2 (sampled),pred_2_faithfulness (0-5),pred_3 (sampled),pred_3_faithfulness (0-5),notes
28,Year : 1995 | Film : Maanthrikam | Language : Malayalam | Year : 1995 | Film : Raasaiyya | Language : Tamil | Year : 1998 | Film : Sher-E-Hindustan | Language : Hindi | Year : 2001 | Film : Sathyameva...,"Hemanth Ravan appeared in Malayalam, Tamil, and Hindi films, including Raasaiyya (1995), Sher-E-Hindustan (1998), Maanthrikam (1995) and Sathyameva Jayathe (2001).","Maanthrikam, a1995 Malay film, and Raasaiyya, 1999 (1998 Tamil), Sher Sher-Eindustanan, 1998 Hindi, and Sathyameva Jayathe, 2001 Malay film, are all Tamil films Malayalam, Tamil, Hindi Hindi, and Malayalam respectively respectively. These films are part of the Malayalam film language in India and they are the the oldest Tamil film in Malayalam in the U.S...",,"Maanthrikam in 1995 was mainly in Malayalam, Raasaiyya in 1995 was Tamil, and in Malayalam in 19995, Sher Sher-E Hindustanan in 1998 was Hindi, and Sathyameva Jayathe in 2001 was in Malayalam. The films were released in 1999, Malay, in Tamil in Malayalam in 9995 and Hindi in Malayalam in 1998.",,"Maanthrikam, a1995 Malay film, Raasaiyyya, a Tamil 19959 film film, Sher-E-Hustan, 1998 Hindi film, and Sathyameva Jayathe, a 201 Malay film, were all released in the languages: Malay Malay1959, Tamil19999999919999, Hindi Hindi19999999999999, respectively.",,
29,col_1 : 2018–19 JGP Final | col_2 : Junior | col_4 : 1 126.26 | col_5 : 1 190.63...,"At the 2018–19 JGP in junior-level, in the Final event, Mishina and Galliamov had a combined total of 190.63 points and free program of 126.26 points.","The 2018–19 JGP Junior Junior, the title the Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior",,"The 2018–19 JGP Junior Junior, the the the Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior Junior",,"The 2018-19 JGPGP Junior (Junior Junior PGA)) was held on April 1, 2018, with a score of  1 126.26, and a round of  1  90.63, with the first round of  1 126.26 being the first round and the second round of  1 109.23 being the second round of  1 190.63.",,
30,3rd : 22.72 | 4th : 22.84 | 5th : 22.91 | 6th : 22.74...,"In 1987 Alessandro Andrei broke the world record three times in the same competition with successive throws of 22.72, 22.84 & 22.91 m and finishing the sequence with a throw of 22.74 m.",The 6 of the the scores in the the 4 the the 5 the the 6 the the 3rd the the 4 the the 4th the the 5th the the 5th the the 5th the the 5th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6th the the 6,,The 22 the 22 the the the 22 the 22 the the the222 the2222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222.,,"The 2 of the 1000 football players of the top 6 of the 2012 FIFA Confeder Cup Cup was named in the table: 3rd: 22.72, 4th: 22.84, 5th: 22.91, 6th: 22.74, with the 3rd place being of 22.72, and 22.2 in the 22th place in  2011.",,
31,"Dates : Cardiff Canton | Shed : Previously 86C, became CF...",Cardiff Canton's shed code was 86C.,"Cardiff , a 86C rugby club, was part the the Football Club from 1990 to 1010, and later joined the the Football Club from 1991 to 2010. The club Football Club,  in 1991, became the name of the the Football Club in 1991 in 2000 and became the name of the the Football Club in 1910 in 2201...",,"Cardiff Canton moved from  66C, on the 11th June, 10th June, and 11th July  10th July, 11th June, 12th June, 13th June, 14th June, 15th June, 16th June, 17th June, 18th June, 19th June, 20th June, 21st June, 22th June.",,"Cardiff  was a former 86C club, but later in 2010, it was renamed to the club of the League League Liverpool in the 1011 season. During the same year, in 2012, Cardiff also joined the League of the Premier League in the 2011 season. In 2008, Cardiff joined the the League of the Premier League, it was renamed to the club of the Premier League of Liverpool in the 201 season..",,
32,Year : Representing Italy | Year : 2011 | Competition : World Cross Country Championships | Position : 34th...,"Nadia Ejjafini represented Italy for the first time at the 2011 World Cross Country Championships, coming 34th overall.","In 2011, the team represented Italy competed in the the the World Cross Country Championships, finishing in 34thth place. the the 2011 the the 2012 the the  the the 2015 the the 2016 the the 2017 the the 2018 the the 2019 the the 2020 the the 2021 the the 2022 the the 2023 the the 2024.",,"In 2011, the national team of the the the Italians, who represented competed in the World Cross Country Championships, finishing the 34th place. the team participated in the 100, 100m, 100 meters, 100 meters, 100 meters, 100 meters, 100 meters, 100 meters, 100 meters, and 50 meters, with all, etc..",,"In the 11th World Cross Country Championships, representing Italy, the bral team finished in 34th place, finishing  4, 8th, 9th,  1st,, 12th, and the 14th, 15th, 16th, 17th, 18th, 19th, and 20th places, and 2nd, 3th,  1th respectively..",,
33,Overall : 15–15 | Overall : 14–14 | Season : 2001–02 | Team : San Jose State | Overall : 10–22...,San Jose State dropped to 10–22 in 2001–02.,"In 2001, the San Jose team achieved an overall season season season of 1-15, with a season season season season of 14, season season season season season season of 14, season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season season",,"In 2001 season02, the team, Honda, California, achieved the  10-22 with an an Overall of 15-15, and from the  1-14 of the season with an  Overall the 14-14, the team reached the the   20th in the 200 season, achieving the  1-22 season with an Overall of 15-15 and from the  1-14 of the season.",,"In 2001,02 season the the team  2:  Overall:  Overall 10 15,  Overall 15-15,   Overall,  Overall 14-14, and  Overall 10–15,  Overall 11-11,  Overall 12-12,  Overall 13-13,  Overall 14-14,  Overall 15-15,  Overall 26–26 for the Overall.",,
34,Competition : World Championships | Notes : 2.31 (Q) 2.25 (F)...,Starc qualified with 2.31 m at the World Championships.,The 2 to the 1 ( the 2 to the end of the 1) in the 2 to the 1 ( the 2 to the end of the 1) in the 2 to the 1 ( the 2 to the end of the 1) in the 2 to the 1 ( the 2 to the end of the 1) in the 2 to the 1 ( the 2 to the end of the 1) in the 2 to the 1 ( the ) of the World Championships.,,"The notes for the team in the 2004 World Championships were 2.31-25, with the team scoring 2.31 (Q) 2.25 (F) in the tournament,, with 3 1th place, and the 2nd place team being 1 1, 2 2, 3 3, 4 4, 5 5, 6 6, 7 7, and8 8 8...",,"The World table is the largest of the most Olympic events held every 100 years, with the following ranking:   2.31 (Q) 2.25 (F) 2.25 (Q) 2.23 (F) 2.22 (Q) 2.21 (F) 2.21 (Q) 2.20 (F) 2.23 (Q) 2.22 (F) 2.22 (Q).",,
35,Year : 2008–10 | Title : 90210 | Role : Kelly Taylor...,"In 2008, Garth starred as Kelly Taylor in ""90210"".","9 02108 a British film from the year 2000,10,10 Kelly Taylor played the role as the character, ,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,, ,, ,.",,"In  2008-10, the film of 90210, which is a, and, and,, and, and, and, and, and,, and,, and, and, and, and,,,, and,,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, played by Kelly Taylor.",,"In 221, the year 2008, 90210 was a title in the series of the show, with the role of Kelly Taylor, the creator of of the show..S..S...S., in 2020, the show was.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.S.992021.S.",,
36,# : 1 | Name : Luis A. Ferré | Term start : 1967 | Term end : 1974...,"The first president of the New Progressive Party (Puerto Rico), was Luis A. Ferré, who served from 1967 to 1974.","Luis A. Ferré, a former footballer and Argentine,, played for the football club Intercontinentalético, Argentina, from 1967 to 1974. He was part first the Inter of11, Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter Inter.",,"Luis A. Ferré was a retired footballer who played for the national Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain.",,"Luis A. Ferré was a retired football football, footballer,, and,er, and,,, and,er,,, and,er,, and,er,, and,er. He played from 1967 until 1974, 1977, 1978, 1979, 1980, 1981, 1983, 1984, and 99 years in in professional football..",,
37,Year : 1987 | Title : Irupatham Noottandu | Role : Sagar Alias Jacky...,Mohanlal portrayed Sagar Alias Jacky in Irupatham Noottandu (1987).,"Irupathamatham Noottandu, a film released in 1987, played the role of Sagar Alias Jacky in the movie ""Irrupathamatham Noottandu."" Although the film was released in 1987, Sagar Alias Jacky was not a main actor in the movie, and the role was played by the actor actor S R. Jr..",,"Ir athamatham Noottandu, a British singer,,,, singer, and, and, and,, singer,,, and,,, and,,, and,,, and,,, and,,, and,,, and, singer, and,, singer, and,, singer, and singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, singer, was was released in 1987.",,"In Irathamatham Noottandu,1998 film, Sagar Alias Jacky plays as character role, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,, ,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,. .",,
38,Year : 2000 | Film : Bariwali | Language : Bengali | Director : Rituparno Ghosh...,"In 2000, Roopa Ganguly appeared in Rituparno Ghosh's Bengali film Bariwali.","Bariwwali Bengali) is a film film directed in 2000 by Rituparno Ghosh, which is the official language Bengali. The film ""Bariwaliwali Bengali"" is a remake of both the Bengali film Bengaliwali and the Bengali film Bariwwali Bengali. The films are Bengaliali, Bengaliwali Bengali, Bengaliali Bengali and Bengaliwali Bengali.",,"Bariwwali Bengali) is a Hindi film film from 2000, released in 2000. The film is Baliali (aliali in Bengali language) and Baliwwali in Bengali. Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali, Bengali.",,"Bariwwali Bengali) is a Hindi-language Bengali film from 2000 directed directed by Rituparno Ghosh, It film is the name of Balialialialialialialialialialialialialialialialialialialiya, which is also translated as Balialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialiya.",,
39,"Year : 1976 | Competition : Košice Peace Marathon | Venue : Košice, Czechoslovakia | Position : 1st...",Takeshi So won the 1976 edition of the Košice Peace Marathon in Czechoslovakia.,"The 1st Peace Marathon in 1976, held in Koše, Czechoslovakia, was the by the the first of the competition,, and the winner was the Czechoslovakia, who was the 1 the the first of the , the 1 the the first of the 1 the 1 the the first of the 1 the 1 the the first of the 1 the 1 the the first of the 1 the 1 the the first of the.",,"The 19 Peace Marathon, held Košice, Czechoslovakia, was the 1 20, 1976, event in the Czechoslovak, and the 1st the 197 event, in the 1  0, 1976, event in the Czechoslovak, and the 1st the 198 event, in the 1  0, 1976, event,,, in the 1 20, 1976.",,"In the19 Peace Marathon, Košice, Czechoslovakia, the  1st  participant competed in the 1976 race was won by and,,, and,, and,,  and, and, and, and, and, and,,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,
40,Year : 2010 | Category : Choice Music: Group | Nominated Work : Glee | Result : Nominated | Year : 2014 | Category : Choice Music: Single | Result : Nominated...,Idina Menzel was nominated in 2010 for Choice Music: Group for Glee and in 2014 for Choice Music: Single.,"In 2001, Glee won the member of in the Choice Music: Group, where the winner was was Champion,, won the member, in 2010. In 2001, Glee won the member of in the Choice Music: Group, where the winner was was Champion,, won the member, in 2010. In 2014 Gleelee won the member of in the Choice Music: Single, where the winner was Champion,, won the member.",,"In 2004, the group, Glee, ,, ,, ,,,,,,,, ,,,,,,,, ,, and ,,, ,,,,,,,,,,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , was-nominated for Choice Music: Single in 2014.",,"In the22nd1 of 2010, thelee won a nomination for category in the Choice Music: group, and the 2 the 1 22101 2014, 2014, thelee won the Choice Music: single category in the 22nd 22101 2014, and the won in 2 the 1 of 2210 and 2014 in the 2 the 1 22104.",,
41,Event : Starrcade...,Starrcade (1988) was the wrestling pay-per-view (PPV) event under the National Wrestling Alliance (NWA).,"Starrcade is a global event that combines arts,, sports,, sports, including music,, dance, and,, arts, music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, sports, arts, dance.",,"Starrcade is a racing event that competed in 199, 199, 1000, and1000, 2000, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, and 2022 world races.",,"Starrcade is a historic event featuring, and, and, and, and, and,,,, and, and, and, and, and,,, and, and,,, and,,,, and,,,, and,,,, and,,,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,
42,"Historical population : 1881 | col_1 : 13,529 | Historical population : 1886 | col_1 : 58,969 | col_2 : +335.9%...","There was a massive growth in population of Calais from 13,529 in 1881 to 58,969 in 1886, a growth of 335.9%.","In 1881, the population population of the United States approximately 13,529 people, which the the population population was to to the population population. However, in 1866, the population population of the United States approximately 58, 969 people, which the the population population was to to the population population. This 335% increase in the population population in 1886, which the the population population was to to the population population..",,"In 1881, the population population of the country was 13,529, which is  the population of the United States at the time. and in 18,86, the population was the same as the 58,996. of the United States at the time. The population increased by 335.9% from 1881 to 8896 in 1886, which is the the population of the United States.",,"In 1881, the population population of the city was 13,529, and the  population in 1886 was 58,969. which is an by 335.9% from the1881 population. The city of London was renamed to London 18 1816, London in 1816. The city of London was renamed to London 18 the18, the city of London in 18 the6.",,
43,"Edition : 1st | Location : Quinta Esmeralda, Caracas | Ceremony date : 29 March 2012 | Broadcaster : Venevisión...","The first edition of the Pepsi Venezuela Music Awards took place on 29 March 2012, in Caracas and was broadcast on Venevisión.","The 1st edition of the Venezuela's ""Venez"" was held in Quinta Esmeralda, Caracas, Venezuela, on March 2,   29  2012, The ceremony was broadcast by the Venezuelan Vision,, a  Venezuela007,, , 000000000 000000,0 000000, 0 on March 1,,  0 0012.",,"The 1st edition of the Venezuela Convention Convention in Caracas, held in Quinta Esmeralda, Venezuela, took place on 29 March 2012, with the ceremonycaster being Venez.. This event was the first the year World Convention Convention in Venezuela, which began running in March 1012, marking the first of a year-long series. Venezuela Convention Convention Convention in Venezuela, started in March 2012, starting with the first edition  1 in March 2012.",,"The  1st edition of the ceremony held in Quinta Esmeralda, Caracas, held on March 29 March 2012, was V Venevisión, a Broadcastercaster known for his "" show..0 March 2012, and the show.00 March2012"" and, when earlier, the first show 20 March 2012, held on March 20 March 2012, held on March 29 March 2012.",,
44,Year : 2019 | English title : Handsome Siblings | Role : Su Ying...,"In 2019, Liang played the role of Su Ying in Handsome Siblings.","In Ying S2, a22-year-old girl,,  ,,  ,,  ,,  ,,  ,,  ,,  ,, ,, ,,  ,, ,, ,, ,  ,, ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ,,  ..",,"In Ying S Siblings ( a Chinese television drama released in 2019), Su Ying played a roles in 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2019, 2020, 2021, 2022, 2023, 2024, 2025.",,"In Ying 2019, a Chinese of the role of the siblings Xiao, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,
45,"Year : 2013 | Competition : European Junior Championships | Venue : Rieti, Italy | Position : 2nd | Notes : 5.25 m...","Axel Chapelle won the medal at the 2013 European Junior Championships in Rieti, Italy, with a vault of 5.25 m.","The 21st place in the the the 2013 European Junior Championships, Rieti, Italy, the  2125 m.      1   2013  2  2nd   Italy  3   Italy  4   Italy   5   Italy  6   5  5  5.25 m.",,"The 203 European European Junior Championships in held at Rieti, Italy, the  of the the 2013,  the 3, 1,  2, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023.",,"The 21st place runner of the the the 2013 European Junior Championships was held in the Rieti, Italy, at   2..5 m, finishing the podium at the 5..25 m. The  was the  runner in the 2013 European Junior Championships, the  was the 21st place runner of the European Junior Championships held at the 2.25 m in Italy, finishing the podium at the 5.2 m..",,
46,Historical population : 2010 | col_1 : 128...,"As of the census of 2010, there were 128 people in Monument.","The historical population population in 2010, there were 128 people, the population of of the United States States, the the United States of America, the the United States Congress, the the United States Congress, the the United States Congress, the the United States Kingdom, the the United States Kingdom, the the United States Kingdom, the the United States Kingdom, the the United States Kingdom, the the United States,, the the United States,, the the United States,, the the United States,, the the United States,, the the United States.",,"The population of India in 2100 was 112,,00,,000,000,000,000, and the population population in population in 2010 was 128,0000,000,000,000,000, which is 12,000,000,000,000 or 10000 before 2010.",,"In the historical population of 2010, the population of128 people the the population density of the city of the city was0 by the% of the population of the city.. However, in 2010, the population of the city was 128 people, and the population density of the city was 0.0000 per person. Therefore, the population density of the city of the city was 0% by the% of the population of the city in 2010.",,
47,Name : Beatrice II | Date of death : 7 May 1231 | Reign : 1205 to 7 May 1231...,Beatrice II (7 May 1231) reigned as the Countess of Burgundy from 1205 until her death.,"Beatrice II was the Queen of of the United Kingdom England and she passed away on 7 May 1231, during she took reign from 120 to 1235. She was born on  15th May, 1205, and she passed away on  7th May, 1231. She was the Queen of the United Kingdom of England and she took reign from 1205 to 1231...",,"Beatrice II was the wife of Queen Mary I of Englandagon who passed away on 7 May 1231 and ruled from 1205 to 7 May 1231. She was the the of the of of England of of England of England born in 1205, Queen of the of of England died in May 1231, and since she was of Englandagon until 7 May 1231, she died until 7 May 1231.",,"Beatrice II was the Queen of of England and She ruled from 1205 to 7 May 1231. She was born on 1 May 1230,   1, 52,  1,  2,  3,  4,  5,  6,  7,  8,  9,  1,  1,  2,  4, 1231.",,
48,Title : Dushman | Genre : Social Romance Drama...,Dushman is a 1939 Hindi social romantic drama film.,"D D is a  romantic drama film by the American family, directed by the Sharma,, starring, the,, the,, the,, the husband, and the wife of the husband,, and the husband, and the,, the,,, the husband,, and the, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife, and the wife.",,"D , a 107-year-old Indian filmmaker born on 19th July, 1993, was a prominent figure in the world of Indian cinema. Dushman was released on 19th July, 2010, and was the critically in the year of2010 2011. In 2011, it was the critically in the year of 2011 and 2012. The film was released on 20th July, 2012.",,"D D is a social-drama film directed by 102, starring, and, and, and, and, and, and, and, and, and,,, and, and,,,,, and, and, and,, and,,,, and,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,
49,Club : Meadows | Established / Joined : 1910 | Dissolved / Departed : 1913...,Meadows had been a member of the Alexandra Cricket Association for three years from 1910/1911 to 1912/1913.,"M 1910, 1,2,2,3,2,3, and, later, later, later,2,2,2,2,2,2,2,2,2, and,  later, later, later, later,, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later, later.",,"Meades a Scottish rugby union,, and,, and,, and, and, and,, and, and,,, and, and, and,,,, and,,, and,,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,1913.",,"Theeades, a Scottish football club, was established in 1910, was dissolved in 1913, and it was a member of the Scottish Football League in 1910. The club joined the Scottish Football League in 1910, which it was a member of until the Scottish Football League in 1912, when it was dissolved. The was part from the Scottish Football League in 1911, and it was the itsed from the Scottish Football League in 1911.",,
