idx,table,reference,pred_1 (deterministic),pred_2 (sampled),pred_3 (sampled)
30,3rd : 22.72 | 4th : 22.84 | 5th : 22.91 | 6th : 22.74,"In 1987 Alessandro Andrei broke the world record three times in the same competition with successive throws of 22.72, 22.84 & 22.91 m and finishing the sequence with a throw of 22.74 m.","The table provided the scores of the top 6 students in a math competition, with the scores corresponding to the  of their ', as follows: 3rd:  22.72, 4th: 22.84, 5th: 22.91, and 6th: 22.74. These scores indicate that the top 6 students scored the 22.72thth highest in the math competition..","The table provided is a list of decimal numbers ranging from 21 to 72, 22.3rd: 22.72, 22.72, 72.72, 22.84, 72..2, 22.91, 22.91, 72.91, 22.74, 22.74, 72.74.","The table presents the the  of the 6th grade of a students' average at each each grade grade. 6th: 3rd: 4th: 6th:  22.72,  22.84,  22.91, and 22.74, respectively. This indicates  that the students' average in the the 3rd grade was slightly higher in the 4th grade, but still was slightly lower in the 6 grade."
31,"Dates : Cardiff Canton | Shed : Previously 86C, became CF",Cardiff Canton's shed code was 86C.,"Cardiff Canton, a Scottish rugby union club,, was founded in the 666s and was named in the 666, C6 in the 666, and later CF in the 667. The club's history history dates in the 666s, with being 86 in the 666, named C6 in the 666, and later became CF in the 667..","Cardiff Canton is a football club in Cardiff England, which in 1960, had a  6-6, 6-6 6-1 record, and 86-8, 86-8, 86-8, 86-8, 86-8, 86-8, 86-8, 86-8, 86-8, 86-8.","Cardiff Canton, a professional rugby union club Cardiff,, was formerly the 86C (formerly666C) club, which was the 666C (666666666666666666666666666666666666666666666666666666666666),, and the the Cardiff Football Club."
32,Year : Representing Italy | Year : 2011 | Competition : World Cross Country Championships | Position : 34th,"Nadia Ejjafini represented Italy for the first time at the 2011 World Cross Country Championships, coming 34th overall.","In 2011, the Italian represented represented represented represented the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the.","The 20111 World Cross Cross Championships, representing Italy, finished 34thth place in the competition, showcasing the country's dominance in international sports events,1,,,2,1,,1,11,11,1,1,11,11,11,11,11,11,1,11,11,1,11,11,1,11,11,11,1,11,11.","In 2011, the Italian represented represented the 34th in the World Cross Country Championships, showcasing the event on the country of Italy. This prestigious competition, held in, in Australia,, Denmark, Germany, France, Russia, and, in Italy, and the event itself, saw the Italian34thth place in the competition. This position marked the country's the best finish at the end of the competition, making the  one the most prestigious event in the world's the most.
."
33,Overall : 15–15 | Overall : 14–14 | Season : 2001–02 | Team : San Jose State | Overall : 10–22,San Jose State dropped to 10–22 in 2001–02.,"The table2, which the the San Jose State, is the the team that achieved the the best performance in the 2001002 season. in the 20015-15 season, the team achieved a the score of 15-15, while the other team achieved a the score of 14-14. the San Jose State achieved the the best overall performance in the season, with a the score of 10-22.","The table2019 season, the San Jose State team achieved success with an an score of 15-15 overall for the season 2001-02. San San Jose State had a score of 14--14 overall in the season 2001-02, while the San Jose team had a score of 1-22 overall in the season 2001-02. The San Jose team had a record score of 10 overall in the season..","The San Jose State team had a total score of of 15 to 15 from season 15 to 15. During the season season 2001-02, the team had a total score of  14-14, which was the the overall score of the season. The team continued overall overall of the season. in the season 2010-22 season they had an overall score of of 10 to 22"
34,Competition : World Championships | Notes : 2.31 (Q) 2.25 (F),Starc qualified with 2.31 m at the World Championships.,"The table provided shows the performance of the athlete in the the World Championships,, with the  2.31 (Q) indicating the  performance of the athlete in the 2031 World Championships, and the 2.25 (F) performance to the performance of the athlete in the 2025 World Championships. The athlete's the  in the the the the performance...","The table shows the the performance of the the athlete in the the competition the athlete participated the in the World Championships, with the the the performance of the athlete in the competition being the 231th place in the 2011 category and the the performance of the athlete in the 2012 category being the 225th place. The notes indicate the the performance of the the athlete in the competition are 2.3th 2.3 place and 2.5 place.","The table represents the the competition and the event and the performance metrics for the athlete. In the given table, the athlete competed the the competition of the World Championships and and the performance was 2.31 (Q) and 2.25 (F). The the performance, to the extent, indicates the athlete's the performance in the competition of the the World, with 2.31 as Q. and 2.25 as F..."
35,Year : 2008–10 | Title : 90210 | Role : Kelly Taylor,"In 2008, Garth starred as Kelly Taylor in ""90210"".","The 92008-10 film90210, directed by the acclaimed actor Taylor,,, stars the role Kelly Kelly, a is a woman, teacher, teacher, and,, and, ,, has plays a significant role in the film, and,, is portrayed as the the protagonist of the film..","The 92008-10 film90210, directed by Tom Hson, stars the actress Taylor the role as a, single,, woman,,, woman,, woman,,, woman,,,,,,,,,married, and, woman, , woman,, woman,, woman,,, woman,, woman,, woman,, woman,, woman,, woman,, woman, and woman.","The 92008-10 film90210, directed by Spielberg Spielberg and primarily portrayed by Kelly Taylor, was a television film film the the story of the, the, the, the,,,, the, the,, the,, and, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the."
36,# : 1 | Name : Luis A. Ferré | Term start : 1967 | Term end : 1974,"The first president of the New Progressive Party (Puerto Rico), was Luis A. Ferré, who served from 1967 to 1974.","Luis A. Ferré, a retired politician, lawyer, economist,, and diplomat,, served as the Secretary of the Republic of Brazil,, President, President,, President,, President,, President,, President,,, President, President,, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President, and President.","Luis A. Ferré, a renowned physicist, writer, inventor,, and, and,,, engineer,,,, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and,, and worked, from 1967 to 1974.","Luis A. Ferré, a retired politician,, and, and, and,, and,,,, served his office in 1967 until 1974, and and, and,, and,,, and,, and, and, and,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and."
37,Year : 1987 | Title : Irupatham Noottandu | Role : Sagar Alias Jacky,Mohanlal portrayed Sagar Alias Jacky in Irupatham Noottandu (1987).,"In 1197,, Irupathamathamatham Noottandu, a prominent character in the Indian film, played the iconic role of Sagar Alias Jacky in the movie ""Iupatham Noottandu."" This film is a well of of the Indian's of of the history of of of the of cinema..","In 1197,, Irupathamathamatham Noottandu, a role played by the character Sagar Alias Jacky, is the series the film ""Irupathamathamatham Noottandu."" This film, which was was released in 1987, depicts the story of the group of four characters, Irupatham, Noottandu, Sally, Jim, Raj, and the rest of the characters, in the pursuit of their respective goals and adventures.","Ir atham 1987, a film directed by Sagar Alias, stars the character of Irupathamottandandu, a character who participates in the army of Afghanistan in the the U.S.. The film plays the role by Sagar Alias Jacky, a character-known for his energetic and engaging role in the film."
38,Year : 2000 | Film : Bariwali | Language : Bengali | Director : Rituparno Ghosh,"In 2000, Roopa Ganguly appeared in Rituparno Ghosh's Bengali film Bariwali.",Bariwalialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialiali,Bariwalialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialiali,Bariwalialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialialiali
39,"Year : 1976 | Competition : Košice Peace Marathon | Venue : Košice, Czechoslovakia | Position : 1st",Takeshi So won the 1976 edition of the Košice Peace Marathon in Czechoslovakia.,"The 196 Peace Marathon, also known the Košice Peace Marathon, was held in Košice, Czechlovaklovakia, and the 1976 Ko, the the Košice Peace Marathon, was the first event event the Czech1 the Czechoslovakia event.","In 196 Peace Marathon, the Košiš competition, Czechoslovakia, took place in Czechoslovakia, and the winner was 11, first place in the top,  the 11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.","The 196 Peace Marathon, also known the Košice Peace Marathon, in Czechoslovakia, was a in-country 2100-meter race in the  of 1976, held at the Košice stadium in Czechoslovakia. The event 1976 saw the winner of 1st.
."
40,Year : 2010 | Category : Choice Music: Group | Nominated Work : Glee | Result : Nominated | Year : 2014 | Category : Choice Music: Single | Result : Nominated,Idina Menzel was nominated in 2010 for Choice Music: Group for Glee and in 2014 for Choice Music: Single.,"The table2010 is a year of the music industry, 010 was the year of the the first ofleelee, the group glee, the group of theleelee, the glee, the group of the glee, i..e. in 2010, the gleelee, the group glee, the group of the glee, the glee, the group glee, the group of the glee, the group of the glee, etc...","The table2010 shows a group of music artists who have a music choice, with the work ""Gleelee"" being a nominated choice. This 2001 table indicates a group of music artists, with the same work ""Gleelee"" being a nominated choice. In the 2014 table, a single music artist has a music choice, with ""Gleelee"" being a nominated choice. The work work ""Gleelee, Gleelee"" has a music choice.","This table2010 shows a list of the nominated choice music group, with the work Gleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleeleelee"
41,Event : Starrcade,Starrcade (1988) was the wrestling pay-per-view (PPV) event under the National Wrestling Alliance (NWA).,"Starrcade is a political event event that in the 1970s, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and,, and,","Starrcade is a multi, event event held by the United,,, United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, is, and,, the, United,, United,,,,,,,,,,,,,,,,,,,,,,,,,, is, and, the, the, United, States.","Starrcade is a global entertainment event that took place in the cities of Johannesburg, and, and, and, and, and,,, and, and, and, and, and, and,, and,,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and."
42,"Historical population : 1881 | col_1 : 13,529 | Historical population : 1886 | col_1 : 58,969 | col_2 : +335.9%","There was a massive growth in population of Calais from 13,529 in 1881 to 58,969 in 1886, a growth of 335.9%.","The table provided the historical population of the country in 18881, 1886, and 1986 respectively. In 1881,, the population population was 13,529 people. In 1886, the population increased to 58,969 people. The population growth from 1881-1886 was an increase of 335.9.","The table presents the historical population data in 1881 and 1886, with the 81th 1881, the population population 1881 was 13,529, and in 21th 8886, the population population 1886 was 58,969, representing a population increase of 335.9%.","The table provided the historical population of the country in 18881, 1886, and 1905 respectively. In 18881, the population was 13,529, while in 1886, it population was 58,969. The population growth rate from 1881 to 1886 was 335.9%, leading up to 1905."
43,"Edition : 1st | Location : Quinta Esmeralda, Caracas | Ceremony date : 29 March 2012 | Broadcaster : Venevisión","The first edition of the Pepsi Venezuela Music Awards took place on 29 March 2012, in Caracas and was broadcast on Venevisión.","The 11th edition of the annual international music festival, held in the historic city of Quinta Esmeralda, is Carada, Venezuela, took place on 29 March March 2012, The event, which features to the thousands of music, dance performances, and cultural performances, was broadcast by Venevisión.","The 1st, edition edition of the prestigious Quinta Esmeralda, heldacas, Venezuela, took on 29 March March 2012, with the eventcaster being Venevisión. This event, held in the of Quinta Esmer Caracas, Venezuela, is the debut of the Quinta Esmeralda, which is a cultural and cultural ceremony held on 29, March 2012, as a celebration of music, music, and cultural exchange..","The 1st, inaugural edition of the prestigious Quinta Esmeraldada, held in Caracas, Venezuela, on March 29 March 2012, was broadcast by Venez., This event event, as the annual Quinta Esmerdada, has a rich history of cultural and and artistic,, and has been part to the main theme of the Quinta Esmerdada, which includes, art, literature,, music, dance,, and more."
44,Year : 2019 | English title : Handsome Siblings | Role : Su Ying,"In 2019, Liang played the role of Su Ying in Handsome Siblings.","In 2202, the role "" ""ome Siblings"" was portrayed by actress Ying, who played the the role of of the two sisters in the English "" ""Handsome Siblings"" , the the film was released in 2019, the the cast of the sisters was the Su Ying..","The table2012019 is a show titled ""Handsome Siblings"" which was released and aired in 2019, featuring the role of Su Ying. a character of a young girl named who is a twin sibling to her sister, who is trying to be the best sibling her sister. The show has English, English,,,English,,,English title, and,English.","In 2 Handsome Siblings, Su Ying plays a the role, role in the English film Handsome, the one released in 2019. The film, which itself was released in 2019, starring Su Ying, is, and is by,, based, on the Chinese TV, Chinese,, Chinese, the,, the, the, the, the, the, the, and the,, the,, the, the.."
45,"Year : 2013 | Competition : European Junior Championships | Venue : Rieti, Italy | Position : 2nd | Notes : 5.25 m","Axel Chapelle won the medal at the 2013 European Junior Championships in Rieti, Italy, with a vault of 5.25 m.","The 2013 European Junior Championships, held held in Rieti, Italy, was a  event event that took  5025 meters,, and the 2nd place in the competition. The 2 the 2nd place in the competition, and the 2nd place in the competition took  502 meters.","The 20 the3 European Junior Championships, held in Rieti, Italy, was the 2ndth event event in the competition, with a note of 525 meters. This event was part of the Pan Junior Championships, which, France, France, Italy, Germany, Germany, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy.","The 2013 European Junior Championships, held annually and held in Rieti, Italy, saw a notable athlete reach the  ndnd place with a a distance of 5.25 meters. This achievement marked the the athlete the 2 of the top runners in the competition, highlighting the competitive nature of the event. The 5.25-meter distance made the the athlete the best possible finish in the competition, showcasing the athlete's skill and and determination to compete to the top level in the sport..
."
46,Historical population : 2010 | col_1 : 128,"As of the census of 2010, there were 128 people in Monument.","The table2 the  population in the 2010s had a population of 128, which is the the the  the  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the.","The table2010 historical population of the United States, with a total population of approximately 128,000,000 people, This number represents in the US population population of the year 2010. In the year 2010, the United States had a population of approximately 128,000,000 people, which is the highest population figure of the United States.","The table provides the historical population of the United States (col_1 column) in 2010, which was 128,..0,..0,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000."
47,Name : Beatrice II | Date of death : 7 May 1231 | Reign : 1205 to 7 May 1231,Beatrice II (7 May 1231) reigned as the Countess of Burgundy from 1205 until her death.,"Beatrice II, the known Queen Queen Elizabeth II II II, II II II II II II died on 7 May 1231, ruling Queen Queen II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II II","Beatrice II, also known Queen Isabella II II, the the second wife of Queen of England, passed away on the 7th May, 1231, and her reign lasted from from 1205 to 7 May 1231. She was II, the second wife of Queen of England, and Queenabellaabella II passed away on the 7th May May 1231, and her reign lasted from 1205 to 7 May 1231.","Beatrice II, the wife of Queen of England, was in power as Queen of England from  - May 1205 to  -  7 May 1231.  Her reign was marked by a period of political, religious,, and social changes, England England.  She was also the first the Queen of England, England of England, England of England, England of England, England of England, England of England, England of England, England of England. England England."
48,Title : Dushman | Genre : Social Romance Drama,Dushman is a 1939 Hindi social romantic drama film.,"""Dushman is a a social-dramarama film that by the the the story of a young man who a falls in a a love with with a woman woman and a a lives in a a small town in a small town. The film explores the themes of love, loss, and redemption, and it is the the of between the characters and the plot.""","Dushman is a a social-drama that follows a the story of a young woman, a, who,, is, a, a,, a, a, a, a, a, a, a, a, a, a, a, a, a, and,, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a.","""Dushman, a a social-dramaramarama,rama,ramaramarama,ramaramaramarama,rama,ramarama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama,rama."""
49,Club : Meadows | Established / Joined : 1910 | Dissolved / Departed : 1913,Meadows had been a member of the Alexandra Cricket Association for three years from 1910/1911 to 1912/1913.,"The table "", "" Meadows"" represents a club club, specifically a water sports club, that was established in 1910 and in 1913. The club was founded in the19th0s, was the name of the New American Football Club,, and the club was dissolved in 1913.","The table ""Mead"" is a sports club that originated in 1911 the United States. It was founded on November 91910, which was the first day of the United States' independence, and and joined on June 11, 1911. The club was dissolved in 1913, marking the end of its active as its involvement in the U.S....","The table ""Meds"" represents a club founded in 19910, later founded in 191919, which was dissolved in the 1913. The club was founded by John,,, Joe,, and,, and,,, and, and and,, and and,, and,, and,, and,, and and, and and, and and, and and, and and, and and, and and.."
